id,reviewed_status,evidence_and_disposition,work_item,verification_state
V9-0576,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel) { onCancel() },docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0577,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0578,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(""刪除書籍"", role: .destructive) { onConfirm() }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0579,合理例外,目前固定清單中僅此處使用的領域文案「刪除書籍」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0580,已共用,V9.1av 已把原色值來源改讀 SailuneTheme.windowSurface，保留原 shape、opacity 與層級；雙重 regex ID 指向同一色值表達式時共同標記。,docs/work-items/v9.1av-frozen-surfaces.md,21 個現行來源、原色值、無簽章 macOS Debug build 與 git diff --check 通過；Light／Dark／hover 實際畫面待驗收
V9-0581,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.acknowledge) { onDismiss() },docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0582,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0583,已共用,V9.1av 已把原色值來源改讀 SailuneTheme.windowSurface，保留原 shape、opacity 與層級；雙重 regex ID 指向同一色值表達式時共同標記。,docs/work-items/v9.1av-frozen-surfaces.md,21 個現行來源、原色值、無簽章 macOS Debug build 與 git diff --check 通過；Light／Dark／hover 實際畫面待驗收
V9-0584,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0585,已共用,來源已引用共用單行／搜尋欄位或位於其實作；原 Binding 與外層行為仍須依畫面核對。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0586,已共用,來源已引用共用單行／搜尋欄位或位於其實作；原 Binding 與外層行為仍須依畫面核對。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0587,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel) {,docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0588,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0589,合理例外,採 macOS 原生 .bordered 樣式，保留平台語意；此例外只涵蓋 style，按鈕位置／命中與操作文案仍依對應 Button ID 驗收。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0590,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.done) {,docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0591,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0592,合理例外,採 macOS 原生 .borderedProminent 樣式，保留平台語意；此例外只涵蓋 style，按鈕位置／命中與操作文案仍依對應 Button ID 驗收。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0593,合理例外,"catch 明確設定錯誤呈現／狀態，保留領域提示；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：modelContext.rollback() let nsError = error as NSError saveError = ""\(nsError.domain) \(nsError.code)：\(nsError.localizedDescription)""",docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0594,合理例外,內容型系統 sheet 承載此領域編輯流程；不與刪除／錯誤提示共用資料 action，仍需核對取消與焦點。 凍結來源：.sheet(isPresented: $showingCommandPalette) {,docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0595,合理例外,內容型系統 sheet 承載此領域編輯流程；不與刪除／錯誤提示共用資料 action，仍需核對取消與焦點。 凍結來源：.sheet(isPresented: $showingShortcutHelp) {,docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0596,合理例外,目前固定清單中僅此處使用的領域文案「指令面板」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0597,合理例外,編輯器指令面板的 Command 鍵符號；屬快捷指令入口。 目前凍結清單沒有同一語意的第二個呼叫點，不為單一用途新增共用 key；若日後出現同義功能另版本再審。,docs/work-items/v9-frozen-inventory.md,來源語意已核對；實際字形／Light／Dark／VoiceOver 待驗收
V9-0598,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0599,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0600,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0601,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0602,合理例外,目前固定清單中僅此處使用的領域文案「更多」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0603,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0604,合理例外,目前固定清單中僅此處使用的領域文案「編輯」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0605,已共用,編輯模式 help 改用 SailuneActionCopy.edit；與同一按鈕 Label 共用來源。,docs/work-items/v9.1ax-repeated-accessibility-copy.md,既有 ActionCopy 接線；最近一次 Debug build 尚未完成，待驗證
V9-0606,合理例外,目前固定清單中僅此處使用的領域文案「AI 助手」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0607,合理例外,AI 助手入口的 sparkles；與能力資料圖標字形相同但操作語意不同。 目前凍結清單沒有同一語意的第二個呼叫點，不為單一用途新增共用 key；若日後出現同義功能另版本再審。,docs/work-items/v9-frozen-inventory.md,來源語意已核對；實際字形／Light／Dark／VoiceOver 待驗收
V9-0608,待共用,直接提示／輔助文字；需按固定 ID 核對操作對象、狀態、同功能用詞及是否缺少另一種描述。,docs/work-items/v9-frozen-inventory.md,來源描述已分類；VoiceOver／滑鼠提示仍待驗收
V9-0609,合理例外,目前固定清單中僅此處使用的領域文案「大綱」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0610,待共用,直接提示／輔助文字；需按固定 ID 核對操作對象、狀態、同功能用詞及是否缺少另一種描述。,docs/work-items/v9-frozen-inventory.md,來源描述已分類；VoiceOver／滑鼠提示仍待驗收
V9-0611,合理例外,目前固定清單中僅此處使用的領域文案「地圖」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0612,待共用,直接提示／輔助文字；需按固定 ID 核對操作對象、狀態、同功能用詞及是否缺少另一種描述。,docs/work-items/v9-frozen-inventory.md,來源描述已分類；VoiceOver／滑鼠提示仍待驗收
V9-0613,合理例外,目前固定清單中僅此處使用的領域文案「設定集」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0614,已共用,"V9.1as 原字形由 SailuneSymbol.settingsSidebar 提供；功能、文字與位置不變。原命中：systemImage: ""sidebar.right""",docs/work-items/v9.1as-frozen-symbol-groups.md,固定 ID、原字形與主機無簽章 macOS Debug build、git diff --check 通過；Light／Dark／VoiceOver 待驗收
V9-0615,待共用,直接提示／輔助文字；需按固定 ID 核對操作對象、狀態、同功能用詞及是否缺少另一種描述。,docs/work-items/v9-frozen-inventory.md,來源描述已分類；VoiceOver／滑鼠提示仍待驗收
V9-0616,合理例外,catch 呼叫領域錯誤回報 callback；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：return aiChatModel.reject(error.localizedDescription),docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0617,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0618,合理例外,編輯器指令或節次標題輸入，與一般表單的快捷鍵／保存契約不同；保留專用欄位。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0619,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel) { dismiss() },docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0620,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0621,待共用,原生 .borderless 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0622,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0623,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0624,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.done) { dismiss() },docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0625,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0626,待共用,原生文字或選單動作按鈕；依來源行中的具名操作核對角色、同功能文案、位置與命中。 凍結來源：Button(action: addVolume) {,docs/work-items/v9-frozen-inventory.md,來源按鈕型態已列；實際命中／鍵盤／Light／Dark 待驗收
V9-0627,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Label(SailuneActionCopy.addVolume, systemImage: SailuneSymbol.addVolume.systemName)",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0628,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0629,待共用,原生 .borderless 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0630,已共用,V9.1ax 固定重複描述「新增卷」已接 SailuneActionCopy 或 SailuneAccessibilityCopy 單一來源；原文字逐字相同。,docs/work-items/v9.1ax-repeated-accessibility-copy.md,String Catalog JSON 與主機無簽章 Debug build 通過；hover／VoiceOver 待驗收
V9-0631,待共用,原生文字或選單動作按鈕；依來源行中的具名操作核對角色、同功能文案、位置與命中。 凍結來源：Button(action: addSection) {,docs/work-items/v9-frozen-inventory.md,來源按鈕型態已列；實際命中／鍵盤／Light／Dark 待驗收
V9-0632,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Label(SailuneActionCopy.addSection, systemImage: SailuneSymbol.addSection.systemName)",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0633,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0634,待共用,原生 .borderless 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0635,已共用,新增節 help 改用 SailuneActionCopy.addSection；與同一按鈕 Label 共用來源。,docs/work-items/v9.1ax-repeated-accessibility-copy.md,既有 ActionCopy 接線；最近一次 Debug build 尚未完成，待驗證
V9-0636,已共用,背景引用已命名的 theme／AppTheme 色彩來源；用途與 Light／Dark 對照仍需畫面驗收。 凍結來源：.background(Color.workspacePanelBackground),docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
V9-0637,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0638,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(""新增第一節"", systemImage: SailuneSymbol.add.systemName) { addSection(to: volume) }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0639,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(SailuneActionCopy.addFirstSection, systemImage: SailuneSymbol.add.systemName) { addSection(to: volume) }",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0640,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0641,合理例外,採 macOS 原生 .borderedProminent 樣式，保留平台語意；此例外只涵蓋 style，按鈕位置／命中與操作文案仍依對應 Button ID 驗收。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0642,已共用,背景引用已命名的 theme／AppTheme 色彩來源；用途與 Light／Dark 對照仍需畫面驗收。 凍結來源：.background(Color.workspacePanelBackground),docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
V9-0643,已共用,背景引用已命名的 theme／AppTheme 色彩來源；用途與 Light／Dark 對照仍需畫面驗收。 凍結來源：.background(Color.workspacePanelBackground),docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
V9-0644,待共用,"DIALOG-04：alert 同標題「確認刪除」共 2 處；需比較取消／破壞性角色、message 與 Store action，只有外殼相同才共用。凍結來源：.alert(""確認刪除"",",docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0645,合理例外,"原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel, role: .cancel) { }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0646,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0647,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(SailuneActionCopy.delete, role: .destructive) { performDelete(target) }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0648,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0649,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0650,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0651,合理例外,"原生文字 Button；領域字面標題另由 copy 家族核對是否同功能。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(""復原"") { restore(undoTarget) }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0652,已共用,V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(SailuneActionCopy.restore) { restore(undoTarget) },docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0653,合理例外,採 macOS 原生 .borderedProminent 樣式，保留平台語意；此例外只涵蓋 style，按鈕位置／命中與操作文案仍依對應 Button ID 驗收。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0654,合理例外,"採系統材質／bar 背景，語意與固定表面色不同；保留平台呈現。 凍結來源：.background(.regularMaterial, in: RoundedRectangle(cornerRadius: 10))",docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
V9-0655,待共用,純圖標或 iconOnly 按鈕候選；依凍結位置核對 28 pt 命中、間距、help／accessibility、原 action 及禁用條件。 凍結來源：Button(action: {,docs/work-items/v9-frozen-inventory.md,來源按鈕型態已列；實際命中／鍵盤／Light／Dark 待驗收
V9-0656,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0657,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0658,已共用,V9.1ax 固定重複描述「在此卷新增節」已接 SailuneActionCopy 或 SailuneAccessibilityCopy 單一來源；原文字逐字相同。,docs/work-items/v9.1ax-repeated-accessibility-copy.md,String Catalog JSON 與主機無簽章 Debug build 通過；hover／VoiceOver 待驗收
V9-0659,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button { startRenaming(id: volume.id, currentName: volume.title) } label: { Label(SailuneActionCopy.rename, systemImage: SailuneSymbol.edit.systemName) }",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0660,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0661,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button { addSection(to: volume) } label: { Label(SailuneActionCopy.addSection, systemImage: SailuneSymbol.addSection.systemName) }",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0662,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0663,合理例外,此原生 Button 以 Label 同時提供文字與語意圖標，保留導覽／新增／刪除的領域 action；文案及圖標各有固定 ID 共用或例外，ButtonStyle 和實際命中仍獨立驗收。,docs/work-items/v9-frozen-inventory.md,來源 Label 按鈕已核對；位置／hit-test／鍵盤／Light／Dark 待驗收
V9-0664,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(role: .destructive) { deleteTarget = .volume(volume) } label: { Label(SailuneActionCopy.deleteVolume, systemImage: SailuneSymbol.delete.systemName) }",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0665,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0666,已共用,"V9.1as 原字形由 SailuneSymbol.reorderHandle 提供；功能、文字與位置不變。原命中：systemName: ""line.3.horizontal""",docs/work-items/v9.1as-frozen-symbol-groups.md,固定 ID、原字形與主機無簽章 macOS Debug build、git diff --check 通過；Light／Dark／VoiceOver 待驗收
V9-0667,已共用,V9.1as 節文件圖標統一讀取 SailuneSymbol.sectionDocument；原 doc.text 字形與畫面用途不變。,docs/work-items/v9.1as-frozen-symbol-groups.md,固定來源與無簽章 macOS Debug build 通過；GUI／VoiceOver 待驗收
V9-0668,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0669,合理例外,透明或幾何量測層，非可見表面色；不混入背景色 token。 凍結來源：.background(selectedSection?.id == section.id ? Color.accentColor.opacity(0.2) : Color.clear),docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
V9-0670,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button { startRenaming(id: section.id, currentName: section.title) } label: { Label(SailuneActionCopy.rename, systemImage: SailuneSymbol.edit.systemName) }",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0671,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0672,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：} label: { Label(SailuneActionCopy.addSection, systemImage: SailuneSymbol.addSection.systemName) }",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0673,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0674,合理例外,此原生 Button 以 Label 同時提供文字與語意圖標，保留導覽／新增／刪除的領域 action；文案及圖標各有固定 ID 共用或例外，ButtonStyle 和實際命中仍獨立驗收。,docs/work-items/v9-frozen-inventory.md,來源 Label 按鈕已核對；位置／hit-test／鍵盤／Light／Dark 待驗收
V9-0675,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(role: .destructive) { deleteTarget = .section(section) } label: { Label(SailuneActionCopy.deleteSection, systemImage: SailuneSymbol.delete.systemName) }",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0676,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0677,合理例外,改名或名稱欄具 FocusState、提交或焦點副作用；保留專用輸入直到另有等價具名 variant。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0678,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0679,待共用,原生 .borderless 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0680,已共用,V9.1ax 固定重複描述「確認 (Enter)」已接 SailuneActionCopy 或 SailuneAccessibilityCopy 單一來源；原文字逐字相同。,docs/work-items/v9.1ax-repeated-accessibility-copy.md,String Catalog JSON 與主機無簽章 Debug build 通過；hover／VoiceOver 待驗收
